,Back to Contents,Data 1: Henry Hub Natural Gas Spot Price (Dollars per Million Btu)
0,Sourcekey,RNGWHHD
1,Date,Henry Hub Natural Gas Spot Price (Dollars per Million Btu)
2,1997-01-07 00:00:00,3.82
3,1997-01-08 00:00:00,3.8
4,1997-01-09 00:00:00,3.61
5,1997-01-10 00:00:00,3.92
6,1997-01-13 00:00:00,4
7,1997-01-14 00:00:00,4.01
8,1997-01-15 00:00:00,4.34
9,1997-01-16 00:00:00,4.71
10,1997-01-17 00:00:00,3.91
11,1997-01-20 00:00:00,3.26
12,1997-01-21 00:00:00,2.99
13,1997-01-22 00:00:00,3.05
14,1997-01-23 00:00:00,2.96
15,1997-01-24 00:00:00,2.62
16,1997-01-27 00:00:00,2.98
17,1997-01-28 00:00:00,3.05
18,1997-01-29 00:00:00,2.91
19,1997-01-30 00:00:00,2.86
20,1997-01-31 00:00:00,2.77
21,1997-02-03 00:00:00,2.49
22,1997-02-04 00:00:00,2.59
23,1997-02-05 00:00:00,2.65
24,1997-02-06 00:00:00,2.51
25,1997-02-07 00:00:00,2.39
26,1997-02-10 00:00:00,2.42
27,1997-02-11 00:00:00,2.34
28,1997-02-12 00:00:00,2.42
29,1997-02-13 00:00:00,2.22
30,1997-02-14 00:00:00,2.12
31,1997-02-18 00:00:00,1.84
32,1997-02-19 00:00:00,1.95
33,1997-02-20 00:00:00,1.92
34,1997-02-21 00:00:00,1.92
35,1997-02-24 00:00:00,1.92
36,1997-02-25 00:00:00,1.77
37,1997-02-26 00:00:00,1.81
38,1997-02-27 00:00:00,1.8
39,1997-02-28 00:00:00,1.78
40,1997-03-03 00:00:00,1.8
41,1997-03-04 00:00:00,1.87
42,1997-03-05 00:00:00,1.92
43,1997-03-06 00:00:00,1.82
44,1997-03-07 00:00:00,1.89
45,1997-03-10 00:00:00,1.95
46,1997-03-11 00:00:00,1.92
47,1997-03-12 00:00:00,1.96
48,1997-03-13 00:00:00,1.98
49,1997-03-14 00:00:00,1.97
50,1997-03-17 00:00:00,2.01
51,1997-03-18 00:00:00,1.91
52,1997-03-19 00:00:00,1.88
53,1997-03-20 00:00:00,1.88
54,1997-03-21 00:00:00,1.87
55,1997-03-24 00:00:00,1.8
56,1997-03-25 00:00:00,1.85
57,1997-03-26 00:00:00,1.85
58,1997-03-27 00:00:00,1.84
59,1997-03-31 00:00:00,1.84
60,1997-04-01 00:00:00,1.95
61,1997-04-02 00:00:00,1.85
62,1997-04-03 00:00:00,1.87
63,1997-04-04 00:00:00,1.91
64,1997-04-07 00:00:00,1.99
65,1997-04-08 00:00:00,2.01
66,1997-04-09 00:00:00,1.96
67,1997-04-10 00:00:00,1.97
68,1997-04-11 00:00:00,1.98
69,1997-04-14 00:00:00,2
70,1997-04-15 00:00:00,2
71,1997-04-16 00:00:00,2.02
72,1997-04-17 00:00:00,2.08
73,1997-04-18 00:00:00,2.1
74,1997-04-21 00:00:00,2.09
75,1997-04-22 00:00:00,2.1
76,1997-04-23 00:00:00,2.22
77,1997-04-24 00:00:00,2.11
78,1997-04-25 00:00:00,2.16
79,1997-04-28 00:00:00,2.1
80,1997-04-29 00:00:00,2.09
81,1997-04-30 00:00:00,2.16
82,1997-05-01 00:00:00,2.19
83,1997-05-02 00:00:00,2.21
84,1997-05-05 00:00:00,2.23
85,1997-05-06 00:00:00,2.25
86,1997-05-07 00:00:00,2.34
87,1997-05-08 00:00:00,2.33
88,1997-05-09 00:00:00,2.3
89,1997-05-12 00:00:00,2.27
90,1997-05-13 00:00:00,2.18
91,1997-05-14 00:00:00,2.22
92,1997-05-15 00:00:00,2.25
93,1997-05-16 00:00:00,2.19
94,1997-05-19 00:00:00,2.25
95,1997-05-20 00:00:00,2.22
96,1997-05-21 00:00:00,2.21
97,1997-05-22 00:00:00,2.22
98,1997-05-23 00:00:00,2.2
99,1997-05-27 00:00:00,2.29
100,1997-05-28 00:00:00,2.34
101,1997-05-29 00:00:00,2.29
102,1997-05-30 00:00:00,2.23
103,1997-06-02 00:00:00,2.2
104,1997-06-03 00:00:00,2.11
105,1997-06-04 00:00:00,2.19
106,1997-06-05 00:00:00,2.18
107,1997-06-06 00:00:00,2.19
108,1997-06-09 00:00:00,2.19
109,1997-06-10 00:00:00,2.16
110,1997-06-11 00:00:00,2.16
111,1997-06-12 00:00:00,2.14
112,1997-06-13 00:00:00,2.15
113,1997-06-16 00:00:00,2.2
114,1997-06-17 00:00:00,2.2
115,1997-06-18 00:00:00,2.22
116,1997-06-19 00:00:00,2.23
117,1997-06-20 00:00:00,2.25
118,1997-06-23 00:00:00,2.29
119,1997-06-24 00:00:00,2.32
120,1997-06-25 00:00:00,2.32
121,1997-06-26 00:00:00,2.23
122,1997-06-27 00:00:00,2.17
123,1997-06-30 00:00:00,2.17
124,1997-07-01 00:00:00,2.16
125,1997-07-02 00:00:00,2.14
126,1997-07-03 00:00:00,2.11
127,1997-07-07 00:00:00,2.13
128,1997-07-08 00:00:00,2.13
129,1997-07-09 00:00:00,2.16
130,1997-07-10 00:00:00,2.15
131,1997-07-11 00:00:00,2.16
132,1997-07-14 00:00:00,2.18
133,1997-07-15 00:00:00,2.21
134,1997-07-16 00:00:00,2.24
135,1997-07-17 00:00:00,2.29
136,1997-07-18 00:00:00,2.26
137,1997-07-21 00:00:00,2.17
138,1997-07-22 00:00:00,2.18
139,1997-07-23 00:00:00,2.2
140,1997-07-24 00:00:00,2.24
141,1997-07-25 00:00:00,2.22
142,1997-07-28 00:00:00,2.19
143,1997-07-29 00:00:00,2.23
144,1997-07-30 00:00:00,2.19
145,1997-07-31 00:00:00,2.23
146,1997-08-01 00:00:00,2.24
147,1997-08-04 00:00:00,2.26
148,1997-08-05 00:00:00,2.33
149,1997-08-06 00:00:00,2.38
150,1997-08-07 00:00:00,2.5
151,1997-08-08 00:00:00,2.38
152,1997-08-11 00:00:00,2.53
153,1997-08-12 00:00:00,2.56
154,1997-08-13 00:00:00,2.45
155,1997-08-14 00:00:00,2.57
156,1997-08-15 00:00:00,2.53
157,1997-08-18 00:00:00,2.56
158,1997-08-19 00:00:00,2.61
159,1997-08-20 00:00:00,2.62
160,1997-08-21 00:00:00,2.45
161,1997-08-22 00:00:00,2.47
162,1997-08-25 00:00:00,2.53
163,1997-08-26 00:00:00,2.58
164,1997-08-27 00:00:00,2.51
165,1997-08-28 00:00:00,2.57
166,1997-08-29 00:00:00,2.69
167,1997-09-02 00:00:00,2.82
168,1997-09-03 00:00:00,2.86
169,1997-09-04 00:00:00,2.73
170,1997-09-05 00:00:00,2.67
171,1997-09-08 00:00:00,2.67
172,1997-09-09 00:00:00,2.74
173,1997-09-10 00:00:00,2.74
174,1997-09-11 00:00:00,2.78
175,1997-09-12 00:00:00,2.86
176,1997-09-15 00:00:00,2.88
177,1997-09-16 00:00:00,2.83
178,1997-09-17 00:00:00,2.75
179,1997-09-18 00:00:00,2.84
180,1997-09-19 00:00:00,2.94
181,1997-09-22 00:00:00,2.98
182,1997-09-23 00:00:00,3.09
183,1997-09-24 00:00:00,3.03
184,1997-09-25 00:00:00,3.05
185,1997-09-26 00:00:00,3.24
186,1997-09-29 00:00:00,3.09
187,1997-09-30 00:00:00,2.96
188,1997-10-01 00:00:00,3.08
189,1997-10-02 00:00:00,2.97
190,1997-10-03 00:00:00,2.91
191,1997-10-06 00:00:00,2.96
192,1997-10-07 00:00:00,2.81
193,1997-10-08 00:00:00,2.8
194,1997-10-09 00:00:00,2.8
195,1997-10-10 00:00:00,2.78
196,1997-10-13 00:00:00,2.87
197,1997-10-14 00:00:00,2.84
198,1997-10-15 00:00:00,2.84
199,1997-10-16 00:00:00,2.94
200,1997-10-17 00:00:00,2.97
201,1997-10-20 00:00:00,3.05
202,1997-10-21 00:00:00,3.13
203,1997-10-22 00:00:00,3.24
204,1997-10-23 00:00:00,3.34
205,1997-10-24 00:00:00,3.29
206,1997-10-27 00:00:00,3.46
207,1997-10-28 00:00:00,3.61
208,1997-10-29 00:00:00,3.45
209,1997-10-30 00:00:00,3.34
210,1997-10-31 00:00:00,3.22
211,1997-11-03 00:00:00,3.23
212,1997-11-04 00:00:00,3.15
213,1997-11-05 00:00:00,3.18
214,1997-11-06 00:00:00,3.2
215,1997-11-07 00:00:00,3.05
216,1997-11-10 00:00:00,3.2
217,1997-11-11 00:00:00,3.26
218,1997-11-12 00:00:00,3.28
219,1997-11-13 00:00:00,3.27
220,1997-11-14 00:00:00,3.25
221,1997-11-17 00:00:00,3.1
222,1997-11-18 00:00:00,3
223,1997-11-19 00:00:00,2.97
224,1997-11-20 00:00:00,2.77
225,1997-11-21 00:00:00,2.59
226,1997-11-24 00:00:00,2.63
227,1997-11-25 00:00:00,2.51
228,1997-11-26 00:00:00,2.5
229,1997-12-01 00:00:00,2.52
230,1997-12-02 00:00:00,2.61
231,1997-12-03 00:00:00,2.53
232,1997-12-04 00:00:00,2.48
233,1997-12-05 00:00:00,2.42
234,1997-12-08 00:00:00,2.3
235,1997-12-09 00:00:00,2.35
236,1997-12-10 00:00:00,2.45
237,1997-12-11 00:00:00,2.3
238,1997-12-12 00:00:00,2.3
239,1997-12-15 00:00:00,2.25
240,1997-12-16 00:00:00,2.29
241,1997-12-17 00:00:00,2.38
242,1997-12-18 00:00:00,2.37
243,1997-12-19 00:00:00,2.39
244,1997-12-22 00:00:00,2.36
245,1997-12-23 00:00:00,2.24
246,1997-12-24 00:00:00,2.06
247,1997-12-26 00:00:00,2.18
248,1997-12-29 00:00:00,2.33
249,1997-12-30 00:00:00,2.27
250,1997-12-31 00:00:00,2.27
251,1998-01-02 00:00:00,2.16
252,1998-01-05 00:00:00,2.05
253,1998-01-06 00:00:00,2.16
254,1998-01-07 00:00:00,2.13
255,1998-01-08 00:00:00,2.11
256,1998-01-09 00:00:00,2.09
257,1998-01-12 00:00:00,2.01
258,1998-01-13 00:00:00,2.03
259,1998-01-14 00:00:00,2.05
260,1998-01-15 00:00:00,2.07
261,1998-01-16 00:00:00,2.11
262,1998-01-20 00:00:00,2.12
263,1998-01-21 00:00:00,2.09
264,1998-01-22 00:00:00,2.1
265,1998-01-23 00:00:00,2.14
266,1998-01-26 00:00:00,2.09
267,1998-01-27 00:00:00,2.06
268,1998-01-28 00:00:00,2.09
269,1998-01-29 00:00:00,2.07
270,1998-01-30 00:00:00,2.09
271,1998-02-02 00:00:00,2.23
272,1998-02-03 00:00:00,2.27
273,1998-02-04 00:00:00,2.23
274,1998-02-05 00:00:00,2.31
275,1998-02-06 00:00:00,2.35
276,1998-02-09 00:00:00,2.25
277,1998-02-10 00:00:00,2.18
278,1998-02-11 00:00:00,2.21
279,1998-02-12 00:00:00,2.2
280,1998-02-13 00:00:00,2.22
281,1998-02-17 00:00:00,2.18
282,1998-02-18 00:00:00,2.19
283,1998-02-19 00:00:00,2.22
284,1998-02-20 00:00:00,2.2
285,1998-02-23 00:00:00,2.2
286,1998-02-24 00:00:00,2.19
287,1998-02-25 00:00:00,2.21
288,1998-02-26 00:00:00,2.28
289,1998-02-27 00:00:00,2.23
290,1998-03-02 00:00:00,2.26
291,1998-03-03 00:00:00,2.24
292,1998-03-04 00:00:00,2.19
293,1998-03-05 00:00:00,2.12
294,1998-03-06 00:00:00,2.1
295,1998-03-09 00:00:00,2.17
296,1998-03-10 00:00:00,2.25
297,1998-03-11 00:00:00,2.25
298,1998-03-12 00:00:00,2.23
299,1998-03-13 00:00:00,2.21
300,1998-03-16 00:00:00,2.2
301,1998-03-17 00:00:00,2.2
302,1998-03-18 00:00:00,2.21
303,1998-03-19 00:00:00,2.25
304,1998-03-20 00:00:00,2.28
305,1998-03-23 00:00:00,2.33
306,1998-03-24 00:00:00,2.29
307,1998-03-25 00:00:00,2.33
308,1998-03-26 00:00:00,2.29
309,1998-03-27 00:00:00,2.26
310,1998-03-30 00:00:00,2.32
311,1998-03-31 00:00:00,2.34
312,1998-04-01 00:00:00,2.45
313,1998-04-02 00:00:00,2.43
314,1998-04-03 00:00:00,2.51
315,1998-04-06 00:00:00,2.51
316,1998-04-07 00:00:00,2.51
317,1998-04-08 00:00:00,2.65
318,1998-04-09 00:00:00,2.61
319,1998-04-13 00:00:00,2.52
320,1998-04-14 00:00:00,2.42
321,1998-04-15 00:00:00,2.48
322,1998-04-16 00:00:00,2.48
323,1998-04-17 00:00:00,2.4
324,1998-04-20 00:00:00,2.4
325,1998-04-21 00:00:00,2.46
326,1998-04-22 00:00:00,2.46
327,1998-04-23 00:00:00,2.35
328,1998-04-24 00:00:00,2.31
329,1998-04-27 00:00:00,2.29
330,1998-04-28 00:00:00,2.27
331,1998-04-29 00:00:00,2.29
332,1998-04-30 00:00:00,2.18
333,1998-05-01 00:00:00,2.11
334,1998-05-04 00:00:00,2.1
335,1998-05-05 00:00:00,2.19
336,1998-05-06 00:00:00,2.12
337,1998-05-07 00:00:00,2.16
338,1998-05-08 00:00:00,2.11
339,1998-05-11 00:00:00,2.19
340,1998-05-12 00:00:00,2.23
341,1998-05-13 00:00:00,2.24
342,1998-05-14 00:00:00,2.18
343,1998-05-15 00:00:00,2.18
344,1998-05-18 00:00:00,2.19
345,1998-05-19 00:00:00,2.17
346,1998-05-20 00:00:00,2.18
347,1998-05-21 00:00:00,2.11
348,1998-05-22 00:00:00,2.02
349,1998-05-26 00:00:00,2.1
350,1998-05-27 00:00:00,2.1
351,1998-05-28 00:00:00,2.04
352,1998-05-29 00:00:00,2.1
353,1998-06-01 00:00:00,2.1
354,1998-06-02 00:00:00,2.2
355,1998-06-03 00:00:00,2.13
356,1998-06-04 00:00:00,2.04
357,1998-06-05 00:00:00,2.01
358,1998-06-08 00:00:00,2
359,1998-06-09 00:00:00,2.01
360,1998-06-10 00:00:00,1.98
361,1998-06-11 00:00:00,1.99
362,1998-06-12 00:00:00,2.01
363,1998-06-15 00:00:00,2.08
364,1998-06-16 00:00:00,2.1
365,1998-06-17 00:00:00,2.05
366,1998-06-18 00:00:00,2.14
367,1998-06-19 00:00:00,2.2
368,1998-06-22 00:00:00,2.35
369,1998-06-23 00:00:00,2.35
370,1998-06-24 00:00:00,2.4
371,1998-06-25 00:00:00,2.39
372,1998-06-26 00:00:00,2.4
373,1998-06-29 00:00:00,2.36
374,1998-06-30 00:00:00,2.39
375,1998-07-01 00:00:00,2.46
376,1998-07-02 00:00:00,2.36
377,1998-07-06 00:00:00,2.38
378,1998-07-07 00:00:00,2.35
379,1998-07-08 00:00:00,2.39
380,1998-07-09 00:00:00,2.38
381,1998-07-10 00:00:00,2.32
382,1998-07-13 00:00:00,2.3
383,1998-07-14 00:00:00,2.23
384,1998-07-15 00:00:00,2.21
385,1998-07-16 00:00:00,2.15
386,1998-07-17 00:00:00,2.15
387,1998-07-20 00:00:00,2.18
388,1998-07-21 00:00:00,2.09
389,1998-07-22 00:00:00,2
390,1998-07-23 00:00:00,2
391,1998-07-24 00:00:00,1.97
392,1998-07-27 00:00:00,2
393,1998-07-28 00:00:00,1.97
394,1998-07-29 00:00:00,1.99
395,1998-07-30 00:00:00,1.95
396,1998-07-31 00:00:00,1.85
397,1998-08-03 00:00:00,1.84
398,1998-08-04 00:00:00,1.9
399,1998-08-05 00:00:00,1.91
400,1998-08-06 00:00:00,1.85
401,1998-08-07 00:00:00,1.82
402,1998-08-10 00:00:00,1.87
403,1998-08-11 00:00:00,1.87
404,1998-08-12 00:00:00,1.85
405,1998-08-13 00:00:00,1.83
406,1998-08-14 00:00:00,1.83
407,1998-08-17 00:00:00,1.93
408,1998-08-18 00:00:00,1.94
409,1998-08-19 00:00:00,1.96
410,1998-08-20 00:00:00,1.9
411,1998-08-21 00:00:00,1.93
412,1998-08-24 00:00:00,1.9
413,1998-08-25 00:00:00,1.89
414,1998-08-26 00:00:00,1.83
415,1998-08-27 00:00:00,1.76
416,1998-08-28 00:00:00,1.66
417,1998-08-31 00:00:00,1.61
418,1998-09-01 00:00:00,1.84
419,1998-09-02 00:00:00,1.72
420,1998-09-03 00:00:00,1.71
421,1998-09-04 00:00:00,1.71
422,1998-09-08 00:00:00,1.81
423,1998-09-09 00:00:00,1.78
424,1998-09-10 00:00:00,1.88
425,1998-09-11 00:00:00,1.86
426,1998-09-14 00:00:00,1.86
427,1998-09-15 00:00:00,1.94
428,1998-09-16 00:00:00,2.15
429,1998-09-17 00:00:00,2.12
430,1998-09-18 00:00:00,2.27
431,1998-09-21 00:00:00,2.18
432,1998-09-22 00:00:00,2.29
433,1998-09-23 00:00:00,2.19
434,1998-09-24 00:00:00,2.17
435,1998-09-25 00:00:00,2.38
436,1998-09-28 00:00:00,2.23
437,1998-09-29 00:00:00,2.06
438,1998-09-30 00:00:00,2.22
439,1998-10-01 00:00:00,2.33
440,1998-10-02 00:00:00,2.14
441,1998-10-05 00:00:00,2.09
442,1998-10-06 00:00:00,2.01
443,1998-10-07 00:00:00,2.05
444,1998-10-08 00:00:00,2.02
445,1998-10-09 00:00:00,1.8
446,1998-10-12 00:00:00,1.75
447,1998-10-13 00:00:00,1.7
448,1998-10-14 00:00:00,1.8
449,1998-10-15 00:00:00,1.75
450,1998-10-16 00:00:00,1.64
451,1998-10-19 00:00:00,1.74
452,1998-10-20 00:00:00,1.95
453,1998-10-21 00:00:00,2.04
454,1998-10-22 00:00:00,1.95
455,1998-10-23 00:00:00,1.84
456,1998-10-26 00:00:00,1.92
457,1998-10-27 00:00:00,1.85
458,1998-10-28 00:00:00,1.7
459,1998-10-29 00:00:00,2
460,1998-10-30 00:00:00,2
461,1998-11-02 00:00:00,1.84
462,1998-11-03 00:00:00,2.1
463,1998-11-04 00:00:00,2.11
464,1998-11-05 00:00:00,2.26
465,1998-11-06 00:00:00,2.25
466,1998-11-09 00:00:00,2.28
467,1998-11-10 00:00:00,2.3
468,1998-11-11 00:00:00,2.33
469,1998-11-12 00:00:00,2.21
470,1998-11-13 00:00:00,2.21
471,1998-11-16 00:00:00,2.19
472,1998-11-17 00:00:00,2.12
473,1998-11-18 00:00:00,2.1
474,1998-11-19 00:00:00,2.1
475,1998-11-20 00:00:00,2.07
476,1998-11-23 00:00:00,2.02
477,1998-11-24 00:00:00,2.08
478,1998-11-25 00:00:00,2.13
479,1998-11-30 00:00:00,1.63
480,1998-12-01 00:00:00,1.41
481,1998-12-02 00:00:00,1.4
482,1998-12-03 00:00:00,1.21
483,1998-12-04 00:00:00,1.05
484,1998-12-07 00:00:00,1.44
485,1998-12-08 00:00:00,1.79
486,1998-12-09 00:00:00,1.64
487,1998-12-10 00:00:00,1.59
488,1998-12-11 00:00:00,1.55
489,1998-12-14 00:00:00,1.8
490,1998-12-15 00:00:00,1.86
491,1998-12-16 00:00:00,1.95
492,1998-12-17 00:00:00,2.02
493,1998-12-18 00:00:00,2.02
494,1998-12-21 00:00:00,2.05
495,1998-12-22 00:00:00,1.96
496,1998-12-23 00:00:00,1.88
497,1998-12-24 00:00:00,1.89
498,1998-12-28 00:00:00,1.79
499,1998-12-29 00:00:00,1.82
500,1998-12-30 00:00:00,1.81
501,1998-12-31 00:00:00,1.95
502,1999-01-04 00:00:00,2.1
503,1999-01-05 00:00:00,2.05
504,1999-01-06 00:00:00,2.04
505,1999-01-07 00:00:00,1.91
506,1999-01-08 00:00:00,1.9
507,1999-01-11 00:00:00,1.83
508,1999-01-12 00:00:00,1.82
509,1999-01-13 00:00:00,1.87
510,1999-01-14 00:00:00,1.77
511,1999-01-15 00:00:00,1.78
512,1999-01-19 00:00:00,1.77
513,1999-01-20 00:00:00,1.81
514,1999-01-21 00:00:00,1.85
515,1999-01-22 00:00:00,1.82
516,1999-01-25 00:00:00,1.76
517,1999-01-26 00:00:00,1.73
518,1999-01-27 00:00:00,1.75
519,1999-01-28 00:00:00,1.75
520,1999-01-29 00:00:00,1.83
521,1999-02-01 00:00:00,1.75
522,1999-02-02 00:00:00,1.78
523,1999-02-03 00:00:00,1.8
524,1999-02-04 00:00:00,1.79
525,1999-02-05 00:00:00,1.81
526,1999-02-08 00:00:00,1.81
527,1999-02-09 00:00:00,1.82
528,1999-02-10 00:00:00,1.8
529,1999-02-11 00:00:00,1.78
530,1999-02-12 00:00:00,1.82
531,1999-02-16 00:00:00,1.79
532,1999-02-17 00:00:00,1.79
533,1999-02-18 00:00:00,1.8
534,1999-02-19 00:00:00,1.79
535,1999-02-22 00:00:00,1.77
536,1999-02-23 00:00:00,1.75
537,1999-02-24 00:00:00,1.73
538,1999-02-25 00:00:00,1.64
539,1999-02-26 00:00:00,1.63
540,1999-03-01 00:00:00,1.65
541,1999-03-02 00:00:00,1.67
542,1999-03-03 00:00:00,1.68
543,1999-03-04 00:00:00,1.72
544,1999-03-05 00:00:00,1.74
545,1999-03-08 00:00:00,1.87
546,1999-03-09 00:00:00,1.86
547,1999-03-10 00:00:00,1.94
548,1999-03-11 00:00:00,1.87
549,1999-03-12 00:00:00,1.81
550,1999-03-15 00:00:00,1.75
